signature,channel_id,channel_name,msg_id,message,cleaned_message,date,msg_link,msg_from_peer,msg_from_id,views,number_replies,number_forwards,is_forward,forward_msg_from_peer_type,forward_msg_from_peer_id,forward_msg_from_peer_name,forward_msg_date,forward_msg_date_string,forward_msg_link,is_reply,reply_to_msg_id,reply_msg_link,contains_media,media_type,has_url,url,domain,url_title,url_description,document_type,document_id,document_video_duration,document_filename,poll_id,poll_question,poll_total_voters,poll_results,contact_phone_number,contact_name,contact_userid,geo_type,lat,lng,venue_id,venue_type,venue_title,venue_address,venue_provider
msg_iteration.0.user.lobelia4cosmetics.post.9437,1666492664,lobelia4cosmetics,9437,"CENTRUM ADULT 50+ 200 GUMMIES 
Price 5700 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",CENTRUM ADULT 50+ 200 GUMMIES Price 5700 birr Telegram https://t.me/lobelia4cosmetics Msg👉 Lobelia pharmacy and cosmetics ☎️ call 0911562031/0911587703 Adress:- Infront of Bole Medhanialem high school Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት 🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር For delivery option fees are from 70 birr - 200 birr,2024-06-12 08:36:35+00:00,https://t.me/lobelia4cosmetics/9437,,,934,0,0,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.1.user.lobelia4cosmetics.post.9436,1666492664,lobelia4cosmetics,9436,"OMEGA 3 200 SOFTGELS 
Price 5000 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",OMEGA 3 200 SOFTGELS Price 5000 birr Telegram https://t.me/lobelia4cosmetics Msg👉 Lobelia pharmacy and cosmetics ☎️ call 0911562031/0911587703 Adress:- Infront of Bole Medhanialem high school Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት 🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር For delivery option fees are from 70 birr - 200 birr,2024-06-12 08:32:43+00:00,https://t.me/lobelia4cosmetics/9436,,,825,0,0,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.2.user.lobelia4cosmetics.post.9435,1666492664,lobelia4cosmetics,9435,"OMEGA 3,6,9 150 SOFTGELS 
Price 5000 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr","OMEGA 3,6,9 150 SOFTGELS Price 5000 birr Telegram https://t.me/lobelia4cosmetics Msg👉 Lobelia pharmacy and cosmetics ☎️ call 0911562031/0911587703 Adress:- Infront of Bole Medhanialem high school Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት 🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር For delivery option fees are from 70 birr - 200 birr",2024-06-12 08:31:20+00:00,https://t.me/lobelia4cosmetics/9435,,,637,0,0,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.3.user.lobelia4cosmetics.post.9434,1666492664,lobelia4cosmetics,9434,"CENTRUM MEN 50+
Price 5700 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",CENTRUM MEN 50+ Price 5700 birr Telegram https://t.me/lobelia4cosmetics Msg👉 Lobelia pharmacy and cosmetics ☎️ call 0911562031/0911587703 Adress:- Infront of Bole Medhanialem high school Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት 🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር For delivery option fees are from 70 birr - 200 birr,2024-06-12 08:29:41+00:00,https://t.me/lobelia4cosmetics/9434,,,664,0,0,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.4.user.lobelia4cosmetics.post.9433,1666492664,lobelia4cosmetics,9433,"CENTRUM WOMEN 50+
Price 5700 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",CENTRUM WOMEN 50+ Price 5700 birr Telegram https://t.me/lobelia4cosmetics Msg👉 Lobelia pharmacy and cosmetics ☎️ call 0911562031/0911587703 Adress:- Infront of Bole Medhanialem high school Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት 🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር For delivery option fees are from 70 birr - 200 birr,2024-06-12 08:29:05+00:00,https://t.me/lobelia4cosmetics/9433,,,704,0,0,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.5.user.lobelia4cosmetics.post.9432,1666492664,lobelia4cosmetics,9432,"Aptamil UK 800mg
Price 3200 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",Aptamil UK 800mg Price 3200 birr Telegram https://t.me/lobelia4cosmetics Msg👉 Lobelia pharmacy and cosmetics ☎️ call 0911562031/0911587703 Adress:- Infront of Bole Medhanialem high school Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት 🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር For delivery option fees are from 70 birr - 200 birr,2024-06-11 15:23:54+00:00,https://t.me/lobelia4cosmetics/9432,,,1266,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.6.user.lobelia4cosmetics.post.9431,1666492664,lobelia4cosmetics,9431,"Aptamil No.2
Price 3200 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",Aptamil No.2 Price 3200 birr Telegram https://t.me/lobelia4cosmetics Msg👉 Lobelia pharmacy and cosmetics ☎️ call 0911562031/0911587703 Adress:- Infront of Bole Medhanialem high school Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት 🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር For delivery option fees are from 70 birr - 200 birr,2024-06-11 15:23:54+00:00,https://t.me/lobelia4cosmetics/9431,,,1097,0,1,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.7.user.lobelia4cosmetics.post.9430,1666492664,lobelia4cosmetics,9430,"Aptamil UK 800mg
Price 3200 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",Aptamil UK 800mg Price 3200 birr Telegram https://t.me/lobelia4cosmetics Msg👉 Lobelia pharmacy and cosmetics ☎️ call 0911562031/0911587703 Adress:- Infront of Bole Medhanialem high school Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት 🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር For delivery option fees are from 70 birr - 200 birr,2024-06-11 15:23:54+00:00,https://t.me/lobelia4cosmetics/9430,,,711,0,0,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.8.user.lobelia4cosmetics.post.9429,1666492664,lobelia4cosmetics,9429,"S 26 1.8kg No.3
Price 5000 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",S 26 1.8kg No.3 Price 5000 birr Telegram https://t.me/lobelia4cosmetics Msg👉 Lobelia pharmacy and cosmetics ☎️ call 0911562031/0911587703 Adress:- Infront of Bole Medhanialem high school Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት 🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር For delivery option fees are from 70 birr - 200 birr,2024-06-11 15:23:20+00:00,https://t.me/lobelia4cosmetics/9429,,,613,0,2,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
msg_iteration.9.user.lobelia4cosmetics.post.9428,1666492664,lobelia4cosmetics,9428,"S 26 1.8kg No.2
Price 5000 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",S 26 1.8kg No.2 Price 5000 birr Telegram https://t.me/lobelia4cosmetics Msg👉 Lobelia pharmacy and cosmetics ☎️ call 0911562031/0911587703 Adress:- Infront of Bole Medhanialem high school Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት 🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር For delivery option fees are from 70 birr - 200 birr,2024-06-11 15:23:20+00:00,https://t.me/lobelia4cosmetics/9428,,,597,0,1,0,,,,,,,0,,,1,MessageMediaPhoto,0,,,,,,,,,,,,,,,,,,,,,,,
